Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
1,-0.1654055800960332,1,3,0.2783832007952286,0.6593918817695976,0.20617844396859386,0.2705517927736617,0.3846208780498676,5,1,3,0.4466219030536973,-0.47342221766272585,0.4889708176333667,2.6234944422891098,-0.9597065735928221,-0.973895181755695,1.625,0.061
1,0.33357038345253087,0,5,0.2777745442916533,0.09671386026646676,0.37735617977528085,0.2705517927736617,1.0107148200563958,6,1,2,-0.04136665206187948,-0.3666668215917064,-0.008485987883508435,3.563292844987829,-0.9164326068430317,-1.357340378311742,3.714,0.105
1,0.5830583652268129,1,3,0.2778081228014071,0.6593918817695976,0.16176923076923078,0.2705517927736617,0.008964512845950725,4,1,0,-0.5736977974168198,-1.4268583411935547,-0.445658333112182,8.367213806355556,-0.740981694034358,-1.9112056622260318,2.333,0.0
1,-0.7891255345317383,0,4,0.2780357852882704,-2.3188689363477804,0.37717219101123595,0.2705517927736617,-0.24147306395666054,3,4,1,-0.5852510777521379,1.6616857037576631,-0.7340996741261684,2.9428434140799373,-0.9517582939857177,-1.9112056622260318,2.333,0.76
1,-0.7891255345317383,1,3,0.27177254374158816,0.6593918817695976,0.20622198429693075,0.2705517927736617,-1.8693173131736336,5,1,0,-0.43087724622403095,-1.4268583411935547,-0.3028677684149454,6.455682103779034,-1.0562634517828304,-1.5703654875095456,2.5,0.0
1,-0.29014957098317423,1,2,0.27770866645346975,0.6593918817695976,0.31656400223588593,0.2705517927736617,0.008964512845950725,3,1,2,-0.5085593025738837,0.10330233582439073,-0.5177136642960726,2.8105416971951653,-0.9761918942594089,-1.7407855748677887,0.846,0.311
1,0.5830583652268129,1,4,0.2766073781291173,0.6593918817695976,0.1253884297520661,-3.849170007870523,1.261152396859007,6,1,3,2.848053744180521,1.3512361036890663,2.7263163529279724,5.543256470090958,-0.9049517585216588,-1.4425504219908634,0.722,0.066
1,-1.7870774616288665,1,0,0.278389662027833,-2.3188689363477804,0.20618772305496072,-3.6551187342135703,-1.1180045827657998,2,2,2,2.250033947776201,0.28613629001498725,2.223909181146555,6.587983820663807,-0.8437205674743363,-1.2295253127930597,0.714,0.048
1,-1.1633575071931614,1,3,0.2716965006729475,0.09671386026646676,0.2061413276231263,0.2705517927736617,0.008964512845950725,5,2,0,1.5096337251442469,1.6616857037576631,1.3603452883319886,11.83899334253869,-0.8990641439978777,-1.7407855748677887,1.182,0.113
1,0.20882639256538985,1,2,0.27776207227374483,0.09671386026646676,0.1616753585397653,0.2705517927736617,0.008964512845950725,6,3,3,0.3327395683198479,0.6309439485891996,0.27610506825805636,3.4857366661243434,-0.8722754979146742,-1.3999454001513025,0.882,0.144
1,-0.5396375527574563,1,5,0.2716265141318977,-2.3188689363477804,0.12518044077134985,0.2705517927736617,-0.6171294291605774,5,3,2,-0.20729376392530446,0.3732585097970836,-0.240713169760139,0.32418184539515515,-0.9429268722000462,-0.973895181755695,0.68,0.217
1,2.3294742376467874,1,1,0.276536231884058,0.6593918817695976,0.31664058133035217,0.2705517927736617,2.262902704069452,6,2,3,0.050949559379376196,0.520507331964007,0.004274956265088981,3.070583002796268,-0.9096618501406836,-1.655575531188667,1.364,0.174
1,1.206778319662518,1,1,0.2656610671936759,0.09671386026646676,0.16176923076923078,0.2705517927736617,0.008964512845950725,3,6,0,0.3431925362422785,-1.4268583411935547,0.4710394909418031,12.030602725613186,-0.8434261867481473,-2.039020727744714,3.25,0.0
1,-1.4128454889674433,1,3,0.2777457627118644,-2.3188689363477804,0.20608279800142754,0.2705517927736617,-0.7423482175618831,5,1,3,-0.009347560846855162,0.6174461398905648,-0.0647001470208643,1.8388083973173637,-0.9105449923192507,-1.357340378311742,2.0,0.195
1,1.331522310549659,0,2,0.2777188999040614,0.6593918817695976,0.3773073033707865,0.2705517927736617,1.5115899736616183,5,2,2,-0.6817484763623658,-0.5924483489143222,-0.6284918604826036,1.9619858578652538,-0.8343003842362867,-1.5277604656699848,0.611,0.279
1,-0.29014957098317423,1,4,0.2764993412384717,-2.3188689363477804,0.161619295958279,0.2705517927736617,0.13418330124725636,5,1,2,-0.48391230452520523,-0.23414288164147534,-0.46281960282926127,4.320606120948934,-0.8996529054502559,-1.6129705093491065,1.7,0.23
1,0.20882639256538985,1,4,0.2809650485436893,0.09671386026646676,0.16171838331160365,0.2705517927736617,0.008964512845950725,6,2,3,2.391534124073525,1.4714893084587204,2.25911178569441,4.325168249117374,-0.8045679308911927,-1.6129705093491065,0.929,0.078
1,-0.6643815436445972,1,3,0.2765882740447958,0.6593918817695976,0.16170730117340287,0.2705517927736617,-0.24147306395666054,4,4,1,0.5394882707013967,0.15729357061892932,0.5252735035733421,-0.48787696858723334,-0.9938547378307518,-1.868600640386471,1.625,0.095
1,1.8304982740982232,1,1,0.27802186878727636,0.6593918817695976,0.31629737283398546,0.2705517927736617,2.5133402808720633,2,2,3,-0.5984548267067871,1.6616857037576631,-0.747300650831614,4.8863100138355415,-0.9031854741645244,-1.4851554438304242,1.143,0.788
1,-0.1654055800960332,0,2,0.277782539174928,0.6593918817695976,0.22093699369936992,0.2705517927736617,0.13418330124725636,6,1,2,0.6423674813063717,-0.0071342808008018005,0.64287220439102,0.9400691481346073,-0.9411605878429119,-1.868600640386471,0.909,0.08
